non-conserved,conserved
osa-miR820c,osa-miR162a
osa-miR820b,osa-miR162b
osa-miR820a,osa-miR169q
osa-miR818f,osa-miR821a
osa-miR817,osa-miR821b
osa-miR816,osa-miR821c
osa-miR815c,osa-miR444a-5p
osa-miR815b,osa-miR444b.2
osa-miR815a,osa-miR444c.2
osa-miR814c,osa-miR444d.3
osa-miR814b,osa-miR444e
osa-miR814a,osa-miR444f
osa-miR812v,osa-miR437
osa-miR812u,osa-miR1435
osa-miR812t,osa-miR2275a
osa-miR812s,osa-miR2275b
osa-miR812r,osa-miR2275c
osa-miR812q,osa-miR2275d
osa-miR812p,osa-miR1430
osa-miR812o-5p,osa-miR528-5p
osa-miR812o-3p,osa-miR1878
osa-miR812n-5p,osa-miR5179
osa-miR812n-3p,osa-miR444a-3p.2
osa-miR812m,osa-miR444b.1
osa-miR812l,osa-miR444c.1
osa-miR812k,osa-miR444d.2
osa-miR812j,osa-miR528-3p
osa-miR812i,osa-miR444a-3p.1
osa-miR812h,osa-miR444d.1
osa-miR812g,osa-miR156b-5p
osa-miR812f,osa-miR156c-5p
osa-miR812e,osa-miR156f-5p
osa-miR812d,osa-miR156g-5p
osa-miR812c,osa-miR156h-5p
osa-miR812b,osa-miR156j-5p
osa-miR812a,osa-miR156l-5p
osa-miR810b.2,osa-miR160c-5p
osa-miR810b.1,osa-miR160d-5p
osa-miR810a,osa-miR160e-5p
osa-miR7695-5p,osa-miR167a-5p
osa-miR7695-3p,osa-miR167c-5p
osa-miR7694-5p,osa-miR167d-5p
osa-miR7694-3p,osa-miR167e-5p
osa-miR7693-5p,osa-miR167h-5p
osa-miR7693-3p,osa-miR167i-5p
osa-miR7692-5p,osa-miR168a-5p
osa-miR7692-3p,osa-miR169f.2
osa-miR6256,osa-miR169i-5p.2
osa-miR6255,osa-miR169r-5p
osa-miR6254,osa-miR390-5p
osa-miR6253,osa-miR393b-5p
osa-miR6252,osa-miR396a-5p
osa-miR6251,osa-miR396b-5p
osa-miR6250,osa-miR396e-5p
osa-miR6249b,osa-miR396f-5p
osa-miR6249a,osa-miR408-5p
osa-miR6248,osa-miR166a-5p
osa-miR6247,osa-miR166b-5p
osa-miR6246,osa-miR166c-5p
osa-miR6245,osa-miR166d-5p
osa-miR5837.2,osa-miR166g-5p
osa-miR5837.1,osa-miR166h-5p
osa-miR5836,osa-miR166i-5p
osa-miR5835,osa-miR166j-5p
osa-miR5834,osa-miR166k-5p
osa-miR5833,osa-miR166l-5p
osa-miR5832,osa-miR171c-5p
osa-miR5831,osa-miR171d-5p
osa-miR5830,osa-miR171e-5p
osa-miR5829,osa-miR171i-5p
osa-miR5828,osa-miR172d-5p
osa-miR5827,osa-miR319a-5p
osa-miR5826,osa-miR159a.2
osa-miR5825,osa-miR160a-5p
osa-miR5824,osa-miR160b-5p
osa-miR5823,osa-miR160f-5p
osa-miR5822,osa-miR166e-5p
osa-miR5821,osa-miR171f-5p
osa-miR5820,osa-miR396c-5p
osa-miR5819,osa-miR530-5p
osa-miR5818,osa-miR1436
osa-miR5817,osa-miR1439
osa-miR5816,osa-miR1442
osa-miR5815,osa-miR156a
osa-miR5814,osa-miR156d
osa-miR5813,osa-miR156e
osa-miR5812,osa-miR156i
osa-miR5811,osa-miR156k
osa-miR5810,osa-miR159b
osa-miR5809,osa-miR159c
osa-miR5808,osa-miR159d
osa-miR5807,osa-miR159e
osa-miR5806,osa-miR159f
osa-miR5805,osa-miR164a
osa-miR5804,osa-miR164b
osa-miR5803,osa-miR164c
osa-miR5802,osa-miR164d
osa-miR5801,osa-miR164e
osa-miR5800,osa-miR164f
osa-miR5799,osa-miR166f
osa-miR5798,osa-miR166m
osa-miR5797,osa-miR167b
osa-miR5796,osa-miR167f
osa-miR5795,osa-miR167g
osa-miR5794,osa-miR167j
osa-miR5793,osa-miR169a
osa-miR5792,osa-miR169b
osa-miR5791,osa-miR169c
osa-miR5790,osa-miR169d
osa-miR5789,osa-miR169e
osa-miR5788,osa-miR169g
osa-miR5544,osa-miR169h
osa-miR5543,osa-miR169j
osa-miR5542,osa-miR169k
osa-miR5541,osa-miR169l
osa-miR5540,osa-miR169m
osa-miR5539b,osa-miR169n
osa-miR5539a,osa-miR169o
osa-miR5538,osa-miR171a
osa-miR5537,osa-miR171b
osa-miR5536,osa-miR171g
osa-miR5535,osa-miR171h
osa-miR5534b,osa-miR172a
osa-miR5534a,osa-miR172b
osa-miR5533,osa-miR172c
osa-miR5532,osa-miR1859
osa-miR5531,osa-miR1862b
osa-miR5530,osa-miR1869
osa-miR5529,osa-miR2118a
osa-miR5528,osa-miR2118b
osa-miR5527,osa-miR2118c
osa-miR5526,osa-miR2118d
osa-miR5525,osa-miR2118e
osa-miR5524,osa-miR2118f
osa-miR5523,osa-miR2118g
osa-miR5522,osa-miR2118h
osa-miR5521,osa-miR2118i
osa-miR5519,osa-miR2118j
osa-miR5518,osa-miR2118k
osa-miR5517,osa-miR2118l
osa-miR5516b,osa-miR2118m
osa-miR5516a,osa-miR2118n
osa-miR5515,osa-miR2118o
osa-miR5514,osa-miR2118p
osa-miR5513,osa-miR2118q
osa-miR5512b,osa-miR2118r
osa-miR5512a,osa-miR319b
osa-miR5511,osa-miR393a
osa-miR5510,osa-miR394
osa-miR5509,osa-miR395a
osa-miR5508,osa-miR395b
osa-miR5507,osa-miR395c
osa-miR5506,osa-miR395d
osa-miR5505,osa-miR395e
osa-miR5504,osa-miR395f
osa-miR5503,osa-miR395g
osa-miR5502,osa-miR395h
osa-miR5501,osa-miR395i
osa-miR5500,osa-miR395j
osa-miR5499,osa-miR395k
osa-miR5498,osa-miR395l
osa-miR5497,osa-miR395m
osa-miR5496,osa-miR395n
osa-miR5495,osa-miR395o
osa-miR5494,osa-miR395p
osa-miR5493,osa-miR395q
osa-miR5492,osa-miR395r
osa-miR5491,osa-miR395s
osa-miR5490,osa-miR395t
osa-miR5489,osa-miR395u
osa-miR5488,osa-miR395v
osa-miR5487,osa-miR395w
osa-miR5486,osa-miR395x
osa-miR5485,osa-miR395y
osa-miR5484,osa-miR397a
osa-miR5340,osa-miR397b
osa-miR5339,osa-miR398a
osa-miR5338,osa-miR398b
osa-miR5337b,osa-miR399a
osa-miR5337a,osa-miR399b
osa-miR531c,osa-miR399c
osa-miR531b,osa-miR399d
