Non-conserved,Conserved
osa-MIR439a,osa-MIR162a
osa-MIR439b,osa-MIR162b
osa-MIR439c,osa-MIR169q
osa-MIR439d,osa-MIR821a
osa-MIR439e,osa-MIR821b
osa-MIR439f,osa-MIR821c
osa-MIR439g,osa-MIR444a
osa-MIR439h,osa-MIR444b
osa-MIR439i,osa-MIR444c
osa-MIR5824,osa-MIR444d
osa-MIR818f,osa-MIR444e
osa-MIR812a,osa-MIR444f
osa-MIR812b,osa-MIR437
osa-MIR812c,osa-MIR1435
osa-MIR812d,osa-MIR2275a
osa-MIR812e,osa-MIR2275b
osa-MIR812f,osa-MIR2275c
osa-MIR812g,osa-MIR2275d
osa-MIR812h,osa-MIR1430
osa-MIR812i,osa-MIR528
osa-MIR812j,osa-MIR1878
osa-MIR812k,osa-MIR5179
osa-MIR812l,osa-MIR156b
osa-MIR812m,osa-MIR156c
osa-MIR812n,osa-MIR156f
osa-MIR812o,osa-MIR156g
osa-MIR812p,osa-MIR156h
osa-MIR812q,osa-MIR156j
osa-MIR812r,osa-MIR156l
osa-MIR812s,osa-MIR160c
osa-MIR812t,osa-MIR160d
osa-MIR812u,osa-MIR160e
osa-MIR812v,osa-MIR167a
osa-MIR820a,osa-MIR167c
osa-MIR820b,osa-MIR167d
osa-MIR820c,osa-MIR167e
osa-MIR815a,osa-MIR167h
osa-MIR815b,osa-MIR167i
osa-MIR815c,osa-MIR168a
osa-MIR814a,osa-MIR169f
osa-MIR814b,osa-MIR169i
osa-MIR814c,osa-MIR169r
osa-MIR810a,osa-MIR390
osa-MIR810b,osa-MIR393b
osa-MIR1861a,osa-MIR396a
osa-MIR1861b,osa-MIR396b
osa-MIR1861c,osa-MIR396e
osa-MIR1861d,osa-MIR396f
osa-MIR1861e,osa-MIR408
osa-MIR1861f,osa-MIR166a
osa-MIR1861g,osa-MIR166b
osa-MIR1861h,osa-MIR166c
osa-MIR1861i,osa-MIR166d
osa-MIR1861j,osa-MIR166g
osa-MIR1861k,osa-MIR166h
osa-MIR1861l,osa-MIR166i
osa-MIR1861m,osa-MIR166j
osa-MIR1861n,osa-MIR166k
osa-MIR1861o,osa-MIR166l
osa-MIR1882a,osa-MIR171c
osa-MIR1882b,osa-MIR171d
osa-MIR1882c,osa-MIR171e
osa-MIR1882d,osa-MIR171i
osa-MIR1882e,osa-MIR172d
osa-MIR1882f,osa-MIR319a
osa-MIR1882g,osa-MIR159a
osa-MIR1882h,osa-MIR160a
osa-MIR1428a,osa-MIR160b
osa-MIR1428b,osa-MIR160f
osa-MIR1428c,osa-MIR166e
osa-MIR1428d,osa-MIR171f
osa-MIR1428e,osa-MIR396c
osa-MIR1428f,osa-MIR530
osa-MIR1428g,osa-MIR1436
osa-MIR1846d,osa-MIR1439
osa-MIR1846a,osa-MIR1442
osa-MIR1846b,osa-MIR156a
osa-MIR1846c,osa-MIR156d
osa-MIR1846e,osa-MIR156e
osa-MIR1862a,osa-MIR156i
osa-MIR1862c,osa-MIR156k
osa-MIR1862d,osa-MIR159b
osa-MIR1862e,osa-MIR159c
osa-MIR531a,osa-MIR159d
osa-MIR531b,osa-MIR159e
osa-MIR1858a,osa-MIR159f
osa-MIR1858b,osa-MIR164a
osa-MIR1883a,osa-MIR164b
osa-MIR1883b,osa-MIR164c
osa-MIR2121a,osa-MIR164d
osa-MIR2121b,osa-MIR164e
osa-MIR2907a,osa-MIR164f
osa-MIR2907b,osa-MIR166f
osa-MIR2907d,osa-MIR166m
osa-MIR396g,osa-MIR167b
osa-MIR396h,osa-MIR167f
osa-MIR396d,osa-MIR167g
osa-MIR2863a,osa-MIR167j
osa-MIR2863b,osa-MIR169a
osa-MIR2863c,osa-MIR169b
osa-MIR1863c,osa-MIR169c
osa-MIR1863b,osa-MIR169d
osa-MIR2871a,osa-MIR169e
osa-MIR2871b,osa-MIR169g
osa-MIR3980a,osa-MIR169h
osa-MIR3980b,osa-MIR169j
osa-MIR5148a,osa-MIR169k
osa-MIR5148b,osa-MIR169l
osa-MIR5148c,osa-MIR169m
osa-MIR5157a,osa-MIR169n
osa-MIR5157b,osa-MIR169o
osa-MIR5534a,osa-MIR171a
osa-MIR5534b,osa-MIR171b
osa-MIR1319a,osa-MIR171g
osa-MIR1319b,osa-MIR171h
osa-MIR5512a,osa-MIR172a
osa-MIR5512b,osa-MIR172b
osa-MIR1440a,osa-MIR172c
osa-MIR1440b,osa-MIR1859
osa-MIR5516a,osa-MIR1862b
osa-MIR5516b,osa-MIR1869
osa-MIR5160,osa-MIR2118a
osa-MIR5540,osa-MIR2118b
osa-MIR5143a,osa-MIR2118c
osa-MIR5143b,osa-MIR2118d
osa-MIR2873a,osa-MIR2118e
osa-MIR2873b,osa-MIR2118f
osa-MIR2873c,osa-MIR2118g
osa-MIR5539a,osa-MIR2118h
osa-MIR5539b,osa-MIR2118i
osa-MIR5079a,osa-MIR2118j
osa-MIR5079b,osa-MIR2118k
osa-MIR1437a,osa-MIR2118l
osa-MIR1437b,osa-MIR2118m
osa-MIR1320,osa-MIR2118n
osa-MIR1423,osa-MIR2118o
osa-MIR1424,osa-MIR2118p
osa-MIR1425,osa-MIR2118q
osa-MIR1426,osa-MIR2118r
osa-MIR1427,osa-MIR319b
osa-MIR1429,osa-MIR393a
osa-MIR1431,osa-MIR394
osa-MIR1432,osa-MIR395a
osa-MIR1438,osa-MIR395b
osa-MIR1441,osa-MIR395c
osa-MIR168b,osa-MIR395d
osa-MIR169p,osa-MIR395e
osa-MIR1847,osa-MIR395f
